skill_1,skill_2,cooccurrence_count,lift,confidence
microsoft excel,microsoft office,301,8.614,0.669
komunikatif,negosiasi,153,4.694,0.163
microsoft excel,microsoft ms word,128,12.221,0.284
microsoft ms word,microsoft office,121,6.309,0.49
microsoft ms excel,microsoft ms word,115,23.196,0.54
microsoft ms excel,microsoft ms powerpoint,110,45.67,0.516
microsoft ms powerpoint,microsoft ms word,109,39.025,0.908
komunikatif,microsoft office,92,1.26,0.098
komunikatif,sales,81,2.62,0.086
excel,power point,72,19.667,0.206
excel,ms office word,64,25.873,0.183
excel,ppt,63,28.51,0.18
ms office word,ppt,63,133.046,0.84
marketing,sales,59,7.538,0.248
microsoft excel,microsoft power point,58,21.711,0.129
excel,powerpoint,55,20.337,0.157
komunikatif,penjualan,53,4.214,0.056
komunikatif,microsoft ms word,53,2.422,0.056
microsoft office,microsoft power point,53,10.834,0.064
canva,capcut,51,31.416,0.317
negosiasi,sales,51,4.214,0.139
komputer,microsoft office,51,3.57,0.277
autocad,sketchup,46,23.908,0.187
komunikatif,microsoft ms excel,46,2.438,0.049
bahasa inggris,microsoft office,45,4.75,0.369
sales,sales marketing,43,7.973,0.123
komunikatif,selling,42,5.45,0.045
communication,negosiasi,42,3.106,0.108
communication,marketing,42,4.802,0.108
komunikatif,marketing,40,1.897,0.043
autocad,microsoft office,37,1.937,0.15
adobe photoshop,corel draw,36,33.952,0.31
excel,menguasai microsoft office word,36,28.724,0.103
komputer,komunikatif,35,2.147,0.19
communication,sales,35,2.729,0.09
komunikatif,microsoft excel,34,0.853,0.036
komunikasi dan interaksi,negosiasi,34,3.953,0.137
penjualan,sales,33,7.066,0.232
communication,microsoft office,33,1.09,0.085
sales marketing,sales marketing strategy,32,35.701,0.195
komunikatif,microsoft ms powerpoint,31,2.916,0.033
adobe photoshop,illustration,30,91.483,0.259
negosiasi,selling,30,9.944,0.082
negosiasi,penjualan,30,6.092,0.082
adobe photoshop,premiere,29,80.394,0.25
illustration,premiere,29,310.857,0.967
komunikatif,leadership,29,1.662,0.031
komunikatif,microsoft ms office,29,3.241,0.031
microsoft ms word,microsoft power point,29,19.777,0.117
accurate,microsoft excel,28,3.648,0.155
microsoft office,negosiasi,28,0.98,0.034
marketing,sales marketing,27,7.341,0.113
communication,sales marketing,26,4.314,0.067
sales,sales and marketing,26,11.294,0.074
sales,sales marketing strategy,26,13.631,0.074
canva,microsoft office,26,2.08,0.161
marketing,negosiasi,26,3.15,0.109
excel,word,25,6.264,0.071
excel,ms. office word,25,30.32,0.071
excel,publisher,25,30.32,0.071
ms. office word,power point,25,95.604,1.0
ms. office word,publisher,25,424.48,1.0
power point,publisher,25,95.604,0.225
adobe illustrator,desain adobe photoshop,24,139.174,0.393
communication,leadership,24,3.315,0.062
komunikasi dan interaksi,microsoft office,24,1.246,0.097
microsoft office,microsoft project,23,9.555,0.028
bahasa inggris,komunikatif,23,2.128,0.189
powerpoint,word,23,24.599,0.28
accurate,microsoft ms excel,23,6.331,0.127
administrasi,microsoft office,23,2.101,0.163
accurate,akuntansi,23,13.621,0.127
excel,microsoft office word,23,18.352,0.066
bahasa inggris,microsoft excel,23,4.446,0.189
administrasi,communication,22,4.246,0.156
communication,microsoft excel,22,1.33,0.056
microsoft excel,microsoft project,21,15.975,0.047
customer service,komunikatif,21,3.079,0.273
marketing,penjualan,21,6.594,0.088
kemampuan system fifo,lifo,20,482.364,1.0
komunikatif,presentasi,20,4.105,0.021
corel draw,photoshop,19,20.581,0.196
ms excel,ms office ms word,19,321.576,0.576
ms excel,ms power point,19,226.294,0.576
komunikatif,sales and marketing,19,3.064,0.02
accurate,microsoft office,19,1.352,0.105
pph,ppn,19,144.64,0.463
b b and b c,negosiasi dan komunikasi,19,94.263,0.613
presentasi,sales,18,9.951,0.327
administrasi,komunikatif,18,1.441,0.128
autocad,microsoft excel,18,1.726,0.073
sem,seo,18,197.739,0.783
negosiasi,presentasi,18,9.438,0.049
microsoft office,microsoft office word,18,6.1,0.022
b b and b c,sales dan marketing,18,308.09,0.581
microsoft office excel,powerpoint,17,100.002,0.773
microsoft office excel,word,17,67.77,0.773
adobe photoshop,capcut,17,14.535,0.147
ms office ms word,ms power point,17,351.665,0.895
dll,excel,17,9.545,0.315
access,excel,17,30.32,1.0
canvassing,sales,17,23.496,0.773
accounting,accurate,16,17.056,0.291
microsoft excel,microsoft word,16,13.011,0.036
microsoft office,problem solving,16,2.513,0.019
