skill,demand_count,category,percentage,rank
komunikatif,940,uncategorized,8.86,1
microsoft office,824,uncategorized,7.76,2
microsoft excel,450,uncategorized,4.24,3
communication,390,uncategorized,3.68,4
negosiasi,368,programming_language,3.47,5
excel,350,uncategorized,3.3,6
sales,349,uncategorized,3.29,7
komunikasi dan interaksi,248,uncategorized,2.34,8
microsoft ms word,247,uncategorized,2.33,9
autocad,246,uncategorized,2.32,10
marketing,238,uncategorized,2.24,11
microsoft ms excel,213,uncategorized,2.01,12
leadership,197,soft_skill,1.86,13
komputer,184,uncategorized,1.73,14
accurate,181,uncategorized,1.71,15
sales marketing,164,uncategorized,1.55,16
canva,161,uncategorized,1.52,17
penjualan,142,uncategorized,1.34,18
administrasi,141,uncategorized,1.33,19
bahasa inggris,122,uncategorized,1.15,20
word,121,uncategorized,1.14,21
microsoft ms powerpoint,120,uncategorized,1.13,22
adobe photoshop,116,uncategorized,1.09,23
power point,111,uncategorized,1.05,24
capcut,107,uncategorized,1.01,25
photoshop,101,tools,0.95,26
microsoft ms office,101,uncategorized,0.95,27
akuntansi,99,uncategorized,0.93,28
digital marketing,98,uncategorized,0.92,29
corel draw,97,uncategorized,0.91,30
komunikasi dan negosiasi dengan baik.,96,uncategorized,0.9,31
e-commerce,95,uncategorized,0.9,32
selling,87,uncategorized,0.82,33
english,87,uncategorized,0.82,34
public speaking.,86,uncategorized,0.81,35
sketchup,83,uncategorized,0.78,36
powerpoint,82,uncategorized,0.77,37
problem solving,82,uncategorized,0.77,38
customer service,77,uncategorized,0.73,39
ms office word,75,uncategorized,0.71,40
sales and marketing,70,uncategorized,0.66,41
menguasai microsoft office,70,uncategorized,0.66,42
negosiasi dan komunikasi,69,uncategorized,0.65,43
pajak,68,uncategorized,0.64,44
social media,67,uncategorized,0.63,45
ppt,67,uncategorized,0.63,46
microsoft power point,63,uncategorized,0.59,47
adobe illustrator,61,uncategorized,0.57,48
penjualan dan pemasaran,58,uncategorized,0.55,49
sales marketing strategy,58,uncategorized,0.55,50
presentasi,55,uncategorized,0.52,51
accounting,55,uncategorized,0.52,52
dll,54,uncategorized,0.51,53
